E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.006717466,4.56877,0,0,30701e-9,30701e-9,0,184.6
0.006820284,4.16587,0,0,33158e-9,33158e-9,0,181.8
0.006847702,3.73576,0,0,33838e-9,33838e-9,0,181.1
0.00688883,4.14282,0.81569,25921,34878e-9,25921,0,180
0.006991648,4.45737,0.80003,25050,37582e-9,25050,0,177.3
0.007901491,4.03188,0.6995,19380,68946e-9,19380,0,156.9
0.008022432,3.53288,0.69891,19072,74251e-9,19072,0,154.5
0.008054683,2.9688,0.69931,19006,75716e-9,19006,0,153.9
0.008103059,3.53226,1.7893,48342,77953e-9,48342,0,153
0.008224,3.99314,1.7635,46942,83762e-9,46942,0,150.8
0.01069,3.38848,2.2596,46273,28666e-8,46273,0,116
0.01142761,2.96561,2.763,52931,38716e-8,52931,0,108.5
0.01221612,2.55014,3.4451,61738,52026e-8,61738,0,101.5
0.01305903,2.18886,4.3234,72476,69563e-8,72476,0,94.94
0.0139601,1.94176,5.4058,84772,92553e-8,84772,0,88.81
0.01492335,1.88002,6.6815,98015,0.0012253,98015,0,83.08
0.01595306,2.07886,8.113,111330,0.0016143,111330,0,77.72
0.01705382,2.6057,9.6315,123640,0.0021165,123640,0,72.7
0.01823053,3.50548,11.138,133750,0.0027614,133750,0,68.01
0.01948844,4.78653,12.515,140580,0.0035854,140580,0,63.62
0.02083314,6.44486,13.638,143310,0.0046332,143310,0,59.51
0.02227063,8.33051,14.402,141570,0.0059588,141570,0,55.67
0.0238073,10.3573,14.736,135500,0.0076274,135500,0,52.08
0.02545001,12.4238,14.616,125720,0.0097174,125720,0,48.72
0.02720606,14.3236,14.069,113210,0.012322,113210,0,45.57
0.02908327,15.9807,13.163,99084,0.015553,99084,0,42.63
0.03109002,17.3146,11.994,84454,0.019541,84454,0,39.88
0.03323523,18.2867,10.67,70284,0.024439,70284,0,37.31
0.03552846,18.8911,9.2918,57254,0.030425,57254,0,34.9
0.03797993,19.1469,7.9469,45806,0.037706,45806,0,32.64
0.04060054,19.0841,6.6989,36121,0.046519,36121,0,30.54
0.04340198,18.7149,5.5846,28168,0.057137,28168,0,28.57
0.04639671,17.9644,4.619,21794,0.069867,21794,0,26.72
0.04949,16.1569,3.8261,16925,0.084518,16925,0,25.05
0.04959809,16.018,3.8017,16780,0.085057,16780,0,25
0.0502475,14.4719,3.6588,15941,0.088337,15941,0,24.67
0.0504495,12.5153,3.6158,15690,0.089372,15690,0,24.58
0.0507525,14.5315,7.3654,31770,0.090935,31770,0,24.43
0.05151,16.2312,7.078,30081,0.094906,30081,0,24.07
0.05302035,17.2269,6.5492,27041,0.1031,27041,0,23.38
0.05667876,17.6944,5.4755,21149,0.12442,21149,0,21.87
0.05929,17.3548,4.8462,17894,0.14091,17894,0,20.91
0.0601975,16.9764,4.6499,16910,0.14688,16910,0,20.6
0.0604395,16.6584,4.5994,16660,0.14849,16660,0,20.51
0.06058959,16.6908,5.0898,18390,0.1495,18390,0,20.46
0.0608025,16.8392,5.0424,18155,0.15093,18155,0,20.39
0.06171,16.7342,4.8471,17195,0.15711,17195,0,20.09
0.06174,16.7231,4.8408,17164,0.15732,17164,0,20.08
0.062132,16.527,4.7598,16771,0.16003,16771,0,19.95
0.062685,15.9261,4.6488,16235,0.16389,16235,0,19.78
0.062937,14.9598,4.5995,15999,0.16567,15999,0,19.7
0.063083,15.0907,6.4019,22217,0.1667,22217,0,19.65
0.0633366,15.7433,6.3493,21946,0.1685,21946,0,19.58
0.063717,16.3888,6.6245,22760,0.17122,22760,0,19.46
0.06426,16.8506,6.5117,22184,0.17514,22184,0,19.29
0.064668,17.0671,6.4291,21764,0.17812,21764,0,19.17
0.06477028,17.1121,6.4087,21661,0.17887,21661,0,19.14
0.06923942,17.9097,5.6306,17803,0.21309,17803,0,17.91
0.07401695,18.0316,4.985,14744,0.25279,14744,0,16.75
0.07912411,17.8796,4.4354,12272,0.29863,12272,0,15.67
0.08458368,17.5331,3.9991,10350,0.3513,10350,0,14.66
0.09041995,17.0275,3.696,8948.4,0.41155,8948.8,0,13.71
0.093296,16.7328,3.6047,8458.3,0.44265,8458.7,0,13.29
0.094724,16.5559,3.5729,8257.3,0.45842,8257.8,0,13.09
0.0951048,16.4751,3.5659,8208.1,0.46267,8208.6,0,13.04
0.095676,16.4603,3.6404,8329.8,0.46906,8330.3,0,12.96
0.09665893,16.3907,3.6286,8218.1,0.48014,8218.6,0,12.83
0.097104,16.3524,3.6245,8171.3,0.48519,8171.8,0,12.77
0.1033284,15.7408,3.6506,7734.3,0.55788,7734.9,0,12
0.1104581,14.9948,3.8583,7646.8,0.64557,7647.4,0,11.22
0.1180797,14.1999,4.2715,7919.3,0.74403,7920,0,10.5
0.1262272,13.3897,4.9107,8516.8,0.85407,8517.7,0,9.822
0.1349368,12.6056,5.7993,9408.6,0.97649,9409.6,0,9.188
0.1442475,11.8996,6.9456,10541,1.1121,10542,0,8.595
0.1542005,11.3326,8.3499,11854,1.2615,11855,0,8.04
0.1648404,10.9631,9.9997,13280,1.4254,13281,0,7.521
0.1762144,10.8566,11.853,14726,1.6044,14728,0,7.036
0.1883732,11.1168,13.856,16103,1.799,16105,0,6.582
0.2013709,11.7275,15.936,17325,2.0095,17327,0,6.157
0.2152655,12.6646,18.011,18317,2.2362,18319,0,5.76
0.2301188,13.9679,19.993,19020,2.4791,19022,0,5.388
0.245997,15.6081,21.797,19397,2.7382,19400,0,5.04
0.2629708,17.5168,23.315,19409,3.0132,19412,0,4.715
0.2811158,19.5218,24.462,19050,3.3037,19053,0,4.41
0.289002,20.2676,24.82,18801,3.4285,18804,0,4.29
0.2934255,20.4939,24.987,18642,3.4981,18646,0,4.225
0.2946051,20.3212,25.027,18598,3.5167,18602,0,4.208
0.2963745,20.7932,25.669,18961,3.5444,18965,0,4.183
0.3005128,21.4565,25.82,18809,3.609,18813,0,4.126
0.300798,21.4938,25.829,18798,3.6135,18802,0,4.122
0.305172,22.0091,25.968,18628,3.6815,18632,0,4.063
0.309843,22.3954,26.095,18437,3.7537,18441,0,4.002
0.3110886,22.3178,26.126,18385,3.7729,18389,0,3.985
0.312957,22.7603,26.615,18617,3.8016,18621,0,3.962
0.317628,23.4958,26.729,18422,3.8732,18426,0,3.903
0.3212482,23.9718,26.805,18267,3.9284,18271,0,3.859
0.3434143,26.506,27.073,17258,4.2607,17262,0,3.61
0.3671099,28.8296,27.057,16135,4.6048,16140,0,3.377
0.3924405,30.9648,26.807,14954,4.9592,14959,0,3.159
0.4195189,32.8844,26.369,13760,5.3222,13765,0,2.955
0.4484657,34.5337,25.788,12589,5.6921,12595,0,2.765
0.4794098,35.6763,25.103,11463,6.0668,11469,0,2.586
0.484414,35.7171,24.989,11293,6.1254,11299,0,2.559
0.4918285,35.3653,24.819,11047,6.2112,11053,0,2.521
0.4938057,34.6352,24.774,10983,6.2339,10989,0,2.511
0.4967715,35.591,26.311,11595,6.2677,11601,0,2.496
0.5,37.4872,26.241,11489,6.3034,11495,0,2.48
0.5025,37.7853,26.186,11408,6.3316,11414,0,2.467
0.5050125,38.0335,26.131,11328,6.3599,11334,0,2.455
0.50753756,38.2526,26.076,11247,6.3881,11254,0,2.443
0.51007525,38.4523,26.02,11168,6.4163,11174,0,2.431
0.51262563,38.6381,25.964,11088,6.4446,11095,0,2.419
0.51518875,38.8133,25.908,11009,6.4728,11016,0,2.407
0.5177647,38.9802,25.852,10930,6.501,10937,0,2.395
0.52035352,39.1402,25.795,10852,6.5293,10859,0,2.383
0.52295529,39.2943,25.738,10774,6.5575,10781,0,2.371
0.52557007,39.4434,25.681,10697,6.5858,10704,0,2.359
0.52819792,39.588,25.624,10620,6.614,10627,0,2.347
0.53083891,39.7286,25.566,10543,6.6422,10550,0,2.336
0.5334931,39.8656,25.508,10467,6.6705,10474,0,2.324
0.53616057,39.9991,25.45,10391,6.6987,10398,0,2.312
0.53884137,40.1295,25.392,10316,6.7269,10323,0,2.301
0.54153558,40.2568,25.333,10241,6.7551,10248,0,2.289
0.54424325,40.3811,25.274,10166,6.7833,10173,0,2.278
0.54696447,40.5024,25.215,10092,6.8115,10099,0,2.267
0.54969929,40.6207,25.156,10018,6.8397,10025,0,2.255
0.55244779,40.7359,25.097,9945.1,6.8678,9951.9,0,2.244
0.55521003,40.8478,25.037,9872.1,6.896,9879,0,2.233
0.55798608,40.9559,24.977,9799.5,6.9241,9806.4,0,2.222
0.56077601,41.0597,24.917,9727.3,6.9523,9734.2,0,2.211
0.56357989,41.1583,24.857,9655.5,6.9804,9662.5,0,2.2
0.56639779,41.2499,24.797,9584.1,7.0085,9591.1,0,2.189
0.56922978,41.3313,24.736,9513.1,7.0365,9520.1,0,2.178
