E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,13.9833,0.25065,6492.8,23138e-8,6492.8,0,116
0.01142761,13.8468,0.28095,6808.1,31371e-8,6808.1,0,108.5
0.01221612,13.6829,0.31548,7151.3,42314e-8,7151.3,0,101.5
0.01305903,13.4837,0.35479,7523.2,56783e-8,7523.2,0,94.94
0.0139601,13.2373,0.3995,7924.7,75814e-8,7924.7,0,88.81
0.01492335,12.9256,0.45032,8356.1,0.0010071,8356.1,0,83.08
0.01595306,12.5184,0.50798,8817.7,0.0013312,8817.7,0,77.72
0.01705382,11.9616,0.5733,9309.1,0.0017507,9309.1,0,72.7
0.01823053,11.1444,0.64715,9830,0.0022911,9830,0,68.01
0.01948844,9.78838,0.73045,10379,0.0029834,10379,0,63.62
0.02083314,6.82187,0.82418,10955,0.003866,10955,0,59.51
0.02156,2.42628,0.87675,11261,0.0044085,11261,0,57.51
0.02189,4.57615,0.90104,11398,0.0046705,11398,0,56.64
0.021978,13.2262,0.90756,11435,0.0047421,11435,0,56.41
0.02211,3.85948,18.081,226460,0.0048508,226460,0,56.08
0.02227063,1.4657,17.741,220600,0.0049853,220600,0,55.67
0.02244,4.4272,17.394,214640,0.0051298,214640,0,55.25
0.0238073,13.2311,14.94,173780,0.0063976,173780,0,52.08
0.02545001,16.956,12.596,137060,0.0081705,137060,0,48.72
0.02720606,18.8177,10.552,107400,0.010385,107400,0,45.57
0.02908327,19.7321,8.8615,84375,0.013137,84375,0,42.63
0.03109002,20.1046,7.5261,67035,0.016539,67035,0,39.88
0.031164,20.1107,7.4848,66508,0.016674,66508,0,39.78
0.031641,20.1363,7.23,63276,0.01756,63276,0,39.18
0.0317682,20.1315,7.1655,62460,0.017801,62460,0,39.03
0.031959,20.1522,7.0947,61474,0.018166,61474,0,38.79
0.032436,20.1771,6.8729,58676,0.019098,58676,0,38.22
0.03323523,20.1866,6.5399,54490,0.020726,54490,0,37.31
0.03552846,20.1102,5.81,45285,0.025851,45285,0,34.9
0.03797993,19.9568,5.3111,38724,0.032094,38724,0,32.64
0.04060054,19.7831,5.0003,34105,0.039662,34105,0,30.54
0.04340198,19.6243,4.8414,30890,0.048791,30890,0,28.57
0.04639671,19.5039,4.8054,28681,0.059749,28681,0,26.72
0.04959809,19.4397,4.8696,27188,0.072837,27188,0,25
0.05302035,19.4498,5.0163,26199,0.088396,26199,0,23.38
