E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.006272,2.49501,0,0,18668e-9,18668e-9,0,197.7
0.006368,1.42832,0,0,20206e-9,20206e-9,0,194.7
0.0063936,0.200589,0,0,20632e-9,20632e-9,0,193.9
0.006432,1.44193,2.3873,77863,21285e-9,77863,0,192.8
0.006528,2.48802,2.3365,75086,22984e-9,75086,0,189.9
0.007559334,3.1059,1.9852,55092,48476e-9,55092,0,164
0.007675038,2.74244,1.9863,54292,52294e-9,54292,0,161.5
0.007705893,2.33399,1.9879,54117,5335e-8,54117,0,160.9
0.007752174,2.73258,2.777,75150,54963e-9,75150,0,159.9
0.007867878,3.05471,2.7791,74100,59156e-9,74100,0,157.6
0.01069,2.45759,4.1468,81377,25564e-8,81377,0,116
0.01142761,2.16853,4.8442,88928,34654e-8,88928,0,108.5
0.01221612,1.93957,5.7226,98272,46739e-8,98272,0,101.5
0.01305903,1.82849,6.7781,108890,6272e-7,108890,0,94.94
0.0139601,1.89424,7.9896,120060,83744e-8,120060,0,88.81
0.01492335,2.19117,9.3163,130960,0.0011126,130960,0,83.08
0.01595306,2.76201,10.699,140690,0.0014708,140690,0,77.72
0.01705382,3.6308,12.063,148390,0.0019349,148390,0,72.7
0.01823053,4.7973,13.327,153350,0.0025329,153350,0,68.01
0.01948844,6.38775,14.409,155100,0.0032996,155100,0,63.62
0.02083314,8.04416,15.239,153450,0.0042776,153450,0,59.51
0.02227063,9.84804,15.767,148520,0.0055189,148520,0,55.67
0.0238073,11.7169,15.967,140700,0.0070864,140700,0,52.08
0.02545001,13.5693,15.841,130570,0.009056,130570,0,48.72
0.02720606,15.3289,15.4,118750,0.011518,118750,0,45.57
0.02908327,16.915,14.68,105890,0.014582,105890,0,42.63
0.03109002,18.2727,13.75,92780,0.018374,92780,0,39.88
0.03323523,19.3757,12.683,80058,0.023045,80058,0,37.31
0.03552846,20.2196,11.547,68179,0.028771,68179,0,34.9
0.03797993,20.8155,10.396,57425,0.035756,57425,0,32.64
0.04060054,21.183,9.2771,47935,0.044234,47935,0,30.54
0.04340198,21.3436,8.22,39731,0.054476,39731,0,28.57
0.04639671,21.3123,7.2453,32760,0.066789,32760,0,26.72
0.04959809,21.0827,6.3634,26915,0.08152,26915,0,25
0.05302035,20.5739,5.5774,22068,0.09906,22068,0,23.38
0.056448,19.2513,4.925,18303,0.11847,18303,0,21.96
0.05667876,19.036,4.8852,18082,0.11984,18082,0,21.87
0.057312,17.9046,4.7787,17492,0.12365,17492,0,21.63
0.0575424,16.3099,4.7409,17284,0.12506,17284,0,21.55
0.057888,17.9732,7.8113,28308,0.12717,28308,0,21.42
0.058752,19.4028,7.5739,27044,0.13255,27044,0,21.1
0.06058959,20.3418,7.1042,24597,0.14436,24597,0,20.46
0.06477028,20.982,6.1885,20044,0.17313,20044,0,19.14
