E,f1,f2,μρpe,μρci,μρtot,μρK,λ
0.01069,14.844,0.27095,7394.4,19096e-8,7394.4,0,116
0.01142761,14.7192,0.30133,7692.6,25994e-8,7692.6,0,108.5
0.01221612,14.5682,0.33573,8017.8,352e-6,8017.8,0,101.5
0.01305903,14.383,0.37466,8369.8,4742e-7,8369.8,0,94.94
0.0139601,14.1508,0.41861,8748,63555e-8,8748,0,88.81
0.01492335,13.8515,0.46815,9152,84745e-8,9152,0,83.08
0.01595306,13.4503,0.5239,9580.6,0.0011243,9580.6,0,77.72
0.01705382,12.8793,0.58645,10032,0.001484,10032,0,72.7
0.01823053,11.9837,0.65646,10505,0.0019489,10505,0,68.01
0.01948844,10.2794,0.73456,10996,0.0025468,10996,0,63.62
0.020678,5.53421,0.81122,11445,0.0032163,11445,0,59.96
0.02083314,3.72966,0.8214,11502,0.0033115,11502,0,59.51
0.0209945,0.0960247,0.83203,11562,0.0034125,11562,0,59.06
0.0210789,7.02935,0.83761,11593,0.0034661,11593,0,58.82
0.0212055,0.443496,14.593,200770,0.0035476,200770,0,58.47
0.021522,7.05288,14.087,190960,0.003757,190960,0,57.61
0.02227063,12.1512,12.999,170280,0.0042846,170280,0,55.67
0.0238073,16.2683,11.145,136570,0.0055164,136570,0,52.08
0.02545001,18.2917,9.4814,108690,0.0070679,108690,0,48.72
0.02720606,19.3604,8.0415,86231,0.0090117,86231,0,45.57
0.02908327,19.8867,6.8589,68802,0.011435,68802,0,42.63
0.03109002,20.0933,5.9286,55632,0.01444,55632,0,39.88
0.03323523,20.1157,5.2254,45868,0.018148,45868,0,37.31
0.03552846,20.0381,4.7161,38726,0.022701,38726,0,34.9
0.03675,19.9757,4.5213,35892,0.025382,35892,0,33.74
0.0373125,19.9387,4.446,34762,0.026677,34762,0,33.23
0.0374625,19.9204,4.4273,34478,0.027029,34478,0,33.1
0.0376875,19.9195,4.4216,34227,0.027561,34227,0,32.9
0.03797993,19.9111,4.389,33714,0.028263,33714,0,32.64
0.03825,19.9006,4.3607,33260,0.028921,33260,0,32.41
0.04060054,19.7994,4.1768,30012,0.035024,30012,0,30.54
0.04340198,19.6963,4.0705,27361,0.0432,27361,0,28.57
0.04639671,19.6222,4.0486,25457,0.053039,25457,0,26.72
0.04959809,19.5881,4.0943,24083,0.064822,24083,0,25
0.05302035,19.6043,4.1942,23078,0.078863,23078,0,23.38
0.05667876,19.6841,4.3227,22250,0.095512,22250,0,21.87
0.06058959,19.7918,4.3219,20810,0.11516,20810,0,20.46
0.06477028,19.9005,4.3249,19480,0.13822,19480,0,19.14
0.06923942,19.9804,4.326,18227,0.16518,18227,0,17.91
0.07401695,20.0357,4.3208,17031,0.19653,17031,0,16.75
0.07912411,20.0504,4.3063,15878,0.2328,15878,0,15.67
0.08458368,19.9983,4.2801,14763,0.27457,14763,0,14.66
0.09041995,19.8321,4.2412,13684,0.32245,13684,0,13.71
0.09665893,19.4554,4.1888,12643,0.37707,12643,0,12.83
0.1,20.9142,4.1569,12127,0.40755,12128,0,12.4
0.1005,20.8515,4.1519,12052,0.4122,12053,0,12.34
0.1010025,20.7848,4.1468,11978,0.4169,11978,0,12.28
0.10150751,20.7137,4.1416,11903,0.42165,11904,0,12.21
0.10201505,20.6377,4.1364,11829,0.42644,11830,0,12.15
